interval_bulan,umur_awal,umur_akhir,gender,kpt_cm
3,0,3,laki-laki,9.3
3,0,3,perempuan,8.6
3,1,4,laki-laki,7.5
3,1,4,perempuan,6.9
3,2,5,laki-laki,5.7
3,2,5,perempuan,5.4
3,3,6,laki-laki,4.4
3,3,6,perempuan,4.2
3,4,7,laki-laki,3.6
3,4,7,perempuan,3.5
3,5,8,laki-laki,3.1
3,5,8,perempuan,3.1
3,6,9,laki-laki,2.8
3,6,9,perempuan,2.9
3,7,10,laki-laki,2.6
3,7,10,perempuan,2.7
3,8,11,laki-laki,2.4
3,8,11,perempuan,2.6
3,9,12,laki-laki,2.3
3,9,12,perempuan,2.4
3,10,13,laki-laki,2.2
3,10,13,perempuan,2.3
3,11,14,laki-laki,2.1
3,11,14,perempuan,2.2
3,12,15,laki-laki,2.0
3,12,15,perempuan,2.0
3,13,16,laki-laki,1.8
3,13,16,perempuan,1.9
3,14,17,laki-laki,1.7
3,14,17,perempuan,1.9
3,15,18,laki-laki,1.6
3,15,18,perempuan,1.8
3,16,19,laki-laki,1.5
3,16,19,perempuan,1.7
3,17,20,laki-laki,1.5
3,17,20,perempuan,1.6
3,18,21,laki-laki,1.4
3,18,21,perempuan,1.5
3,19,22,laki-laki,1.4
3,19,22,perempuan,1.5
3,20,23,laki-laki,1.3
3,20,23,perempuan,1.4
3,21,24,laki-laki,1.2
3,21,24,perempuan,1.3
